gene_symbol
Spg21
Brd4
P4hb
Ddit4
Mad2l2
Coro1c
Smo
Pex2
Fxn
Gjc1
Thbs3
Pias2
Fbxw7
Itgb1
Plekho1
Ppp1r12a
Kdm1a
Gdi1
Fam168b
Erf
Epn1
Pspc1
Ap1ar
Spag9
Limch1
Ywhag
Wdr1
Ss18
Cttn
Igf2bp1
Ptpn11
Ddr1
Rbpj
Mycbp2
Notch2
Mest
Myh10
Pdia4
Dbnl
Lfng
Grcc10
Golga4
App
Sema5a
Hsph1
Cdkn1b
Aggf1
Katna1
Ptprf
Tspan7
Snx2
Dtx3
Tpm1
Ajuba
Tenm4
Wdr12
Cul5
Dnm1l
Nr4a2
Pak3
Cited2
Bloc1s2
Sox12
Bcl2
Tor1a
Clstn1
Adgrg1
Map4k4
Usp9x
Lims1
Ccm2
Bad
Aurka
Cit
Celsr1
Fermt2
Nck1
Tln1
Maea
Nfkbia
Pex13
Sart1
Ptpn1
Ccdc80
Nkap
Faf1
Rasa1
Tm2d3
Add1
Mex3b
Apbb1
Kif20b
Plaa
Fbln1
Flrt3
Sh3bp1
Zeb2
Actr2
Pqbp1
Ank2
Bloc1s4
Gap43
Atxn2
Dhx36
Fgf13
Cd47
Snx1
Map2
Macf1
Vmp1
Cd9
Arid2
Smarcc2
Fgfr3
Wasl
Poglut1
Dock7
Cd164
Rhoc
Kif1a
Spast
Eif2b2
Myo10
Actn1
Creb1
Epdr1
Ect2
Efna2
Smarca2
Prmt3
Socs6
Elavl4
Yap1
Pip5k1a
Cbfa2t2
Nckap1
Flna
Kat5
Boc
Podxl2
Dicer1
Csk
Capn2
Synj2bp
Mark2
Vamp7
Fut9
Msn
Tspan5
Pten
Usp5
Cadm4
Ephb2
Sox1
Igsf9
Mmp14
Gpc4
Srebf2
Rufy3
Ndel1
Xbp1
Ldb1
Mecp2
Itch
Vcam1
Ikbkb
Anapc2
Lmo4
Ryk
Rsu1
Pik3r2
Clasp1
Palld
Raph1
Mapk3
Celsr2
Lgals1
Golph3
Dusp10
Magi1
Nedd9
Ybx3
Aph1a
Pdcd6ip
Pcdh9
Tgfbr1
Coro1b
Cxadr
Dapk3
Lrp6
Llgl1
Chn1
Slc25a46
Tubgcp2
Crmp1
Triobp
Actn4
Bmpr2
Elp3
Dusp1
Clu
Ppp1r9a
Plxnb2
Blm
Men1
Arl2
Aspm
Kifap3
Itgb1bp1
Cdk5
Ist1
Dclk1
Igf1r
Arvcf
Pcdh19
Fat1
Gpm6a
Abi2
Rbm15
Fn1
Zyx
Ufl1
Tpbg
Dtnbp1
Wasf2
Rnf6
Fndc3a
Cldn12
Stau2
Mettl3
Fgfr2
Mapk7
Cbl
Ptpn2
Itgb8
Wnt7a
Apc
Spg7
Cbll1
Pard6a
Nrcam
Rnd2
Smad4
Megf10
Vasp
Bmi1
Ctnnd2
Abl1
Eomes
Tgfb2
F2r
Mpdz
Picalm
Metrn
Epb41l5
Pard3
Mapk8
Tjp1
Rere
Herc2
Trpm7
Twsg1
Dhps
Mia3
Phf10
Igsf3
Efnb2
Arhgef2
Efr3a
Agrn
Rhob
Wasf1
Zdhhc21
Ccnc
Rbfox2
Heg1
Gnpat
Mapk14
Got1
Rap2b
Map2k5
Astn1
Nog
Dip2b
Efemp2
St8sia2
Prkd1
Epb41l3
Dag1
Bcan
Tspan14
Pkp4
Arhgap35
Vezt
Cyfip1
Flot2
Taok2
Sin3a
Nsmf
Ptprd
Specc1l
Id1
Cspg5
Rfng
Pcdh10
Jam2
Fktn
Sorbs2
Golga1
Skil
Src
Nrg1
Cib1
Dvl2
Adam10
Sema5b
Spint2
Itga6
Cask
Nf1
Gli2
Dnaja3
Rock2
Pex7
Nle1
Dnm2
Abi1
Zbtb7a
Dmd
Ntrk3
Arhgap33
Rc3h2
Zbtb1
Trak1
Tbce
Ctnnd1
Klf4
Ntrk2
Diaph2
Mfn1
Pdpk1
Stk4
Nedd4l
Irak1
Srgap2
Mad1l1
Bloc1s6
Mtss1
Rap2a
Glmn
Pcdh8
Adgrb3
Klhl25
Fzd3
Bag4
Bcl11b
S1pr1
Ninj1
Rnd1
Dpysl5
Kidins220
Tm9sf4
Wdr47
Nfatc4
Jak1
Pacsin2
Lsr
Ascl1
Epha7
Atp2c1
Gsk3a
Klf7
Pcdh17
Ext1
Rab13
Parva
Ttc8
Rab3a
Tsc1
Rab40c
Gja1
Klhl22
Plxna2
Hacd1
Ptpru
Iqgap1
Gmds
Sh3rf1
Flot1
Nphp1
Pcnt
Fbxw8
Map2k1
Wdr36
Cadm2
Pnp
Sipa1l1
Mfng
Eef2k
Dst
Notch3
Gas2
Opa1
Cep85
Pak1
Rela
Lrp4
Coro2b
Etv1
Kctd10
Dchs1
Vcl
Panx1
Cntnap2
Cdk5r1
Unk
Ap3b1
Ep300
Epn2
Mul1
Pex5
Tln2
Afg3l2
Tjp2
Ttl
Akip1
Arhgef25
Plekha7
Psen1
Zdhhc2
Cacng7
Srcin1
Mef2c
Apoe
Cdh4
Ptp4a3
Scrib
Atm
Dennd6a
Efna4
Pcdh18
Megf9
Hdac6
Axl
Nav1
Tet1
Vit
Clasp2
Nf2
Pofut1
Sema3a
Hipk1
Lrp8
Ptk2
Twf2
Enho
Fras1
Rnf157
Frmd5
Tsc2
Maml2
Kif26a
Ap3d1
Ankrd27
Fbxo31
Lrrc4b
Myo9b
Rac3
Aak1
Aplp1
Lrfn4
Capn15
Mmrn2
Mef2a
Rita1
Diaph1
Pag1
Tnfrsf12a
Galnt11
Myo9a
Zfyve27
Slitrk2
Dock1
Swap70
Nlgn3
Adam17
Stxbp3
Prnp
Cd1d1
Pcdh11x
Dlg5
Bcl2l11
Acvr1
Crb2
Dtx2
Slc7a1
Efnb3
Cacna1a
Cul7
Notch4
B2m
Usp33
Lrp1
Tmem106b
Lef1
Plxnb1
Hyal1
Sdc2
Ctnnal1
Tenm3
Pde3b
Rc3h1
Fer
Fat3
B4gat1
Sox13
Sema4c
Mapk8ip3
Ulk1
Dll1
Cd2ap
Tfrc
Dcx
S100a10
Mapk8ip2
Git1
Flcn
Nlgn1
Rgmb
Dab2ip
Nlgn2
Tenm2
Chst2
Braf
B4galt6
Pard3b
Nova2
Zc3h8
Atg16l1
Arid1b
Bbs4
Gstp1
Ccl25
Sema4b
Ndfip1
Slc30a1
Bcar1
Fkrp
Pbxip1
Neo1
St3gal4
Ntm
Olfm1
B4galt5
Srf
Sirpa
Atg7
Negr1
Cyth3
Lzts1
Mark1
Slitrk5
Parp6
Mib1
Tyro3
Adgrv1
Pxn
Slc39a9
Rapgef1
Pip5k1c
Phactr1
Bhlhe22
Draxin
Wee1
Sdccag8
Cntn2
Rapgef2
Pik3r1
Pycard
Nfat5
Pml
Mpp7
Kalrn
Zfhx3
Eif2ak4
Iglon5
Cyfip2
Numbl
Tspan15
Lrrc4c
Ctnna2
Mfsd2a
Tbcd
Map1s
Ulk2
Slc4a2
Antxr1
Aph1b
Slk
Vcan
Smarcd2
Impact
Dvl3
Cblb
Limk1
Kctd1
Atp1b2
Igsf11
Mfn2
Cebpb
Bcr
Prkcz
Tfe3
Lrp12
Traf6
Mcam
Prex1
Zdhhc17
Cd276
Mapre3
Apbb2
Tmem108
Il6st
Hif1an
Itsn2
Cnp
Vps13a
Ablim1
Fbf1
Fbxo38
Pmp22
Wls
Lamb2
Stxbp1
Slc11a2
Trio
Coro1a
Dtx4
Casp3
Maml1
Tbr1
Mink1
Pxdn
Fbxo45
Egfl7
Atp9a
Wnt7b
Tnfaip6
Podxl
Fat4
Jak2
Ppp1r12b
Cav1
Nyap1
Add2
Farp1
Sgsm3
Bmp2k
Nrp1
Taok3
Arpin
Foxo3
Smad3
Tnfrsf21
Gorasp1
Stat3
Nell2
Lmo7
Fadd
Cadm3
Nfasc
Ift88
Cdkl3
Epha3
Slit2
Baiap2
Prkcd
Mapt
Nuak1
St6gal1
Btbd3
Ccdc134
Ppp1r12c
Lpp
Il18
Smad6
Gpr173
Dusp3
Lsamp
Ptpn23
Lrig2
Kif14
Pkd1
